id,title,description,availability,condition,price,link,image_link,mpn
1,"Deerma Purifying Air Humidifier Aromatherapy Oil Diffuser 5L - SJS100",-,"in stock",new,695000,https://www.tokopedia.com/hifebriansyah/deerma-purifying-air-humidifier-aromatherapy-oil-diffuser-5l-sjs100,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/5/4bb0f963-a9b5-4f20-b742-ae69bd2c89d9.jpg?ect=4g,deerma-purifying-air-humidifier-aromatherapy-oil-diffuser-5l-sjs100
2,"DEERMA Electric Kettle Teko Lipat Pemanas Listrik 600ML - DEM-DH300",-,"in stock",new,433000,https://www.tokopedia.com/hifebriansyah/deerma-electric-kettle-teko-lipat-pemanas-listrik-600ml-dem-dh300,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/5/e9c8da79-a41d-4058-b9d3-762864296ad7.jpg?ect=4g,deerma-electric-kettle-teko-lipat-pemanas-listrik-600ml-dem-dh300
3,"Deerma Penyedot Debu Handheld Vacuum Cleaner 15000 PA - DX300 - White",-,"in stock",new,645000,https://www.tokopedia.com/hifebriansyah/deerma-penyedot-debu-handheld-vacuum-cleaner-15000-pa-dx300-white,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/5/5593157e-433a-45b5-8d3d-69720a1d41a5.jpg?ect=4g,deerma-penyedot-debu-handheld-vacuum-cleaner-15000-pa-dx300-white
4,"DEERMA Air Humidifier Ultrasonic Aromatherapy Oil Diffuser 5L",-,"in stock",new,305000,https://www.tokopedia.com/hifebriansyah/deerma-air-humidifier-ultrasonic-aromatherapy-oil-diffuser-5l,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/5/5436bbf4-c51f-4faf-a855-5b533253f584.jpg?ect=4g,deerma-air-humidifier-ultrasonic-aromatherapy-oil-diffuser-5l
5,"Deerma Penyedot Debu Handheld Vacuum Cleaner Multifunction DX1000 Blue",-,"in stock",new,735000,https://www.tokopedia.com/hifebriansyah/deerma-penyedot-debu-handheld-vacuum-cleaner-multifunction-dx1000-blue,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/5/911afff0-a787-4393-b7af-0a54a12da2ba.jpg?ect=4g,deerma-penyedot-debu-handheld-vacuum-cleaner-multifunction-dx1000-blue
6,"Xiaomi DEERMA Air Humidifier Ultrasonic Aromatherapy Oil Diffuser Larg",-,"in stock",new,360000,https://www.tokopedia.com/hifebriansyah/xiaomi-deerma-air-humidifier-ultrasonic-aromatherapy-oil-diffuser-larg,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/5/5a3c19a1-7755-4587-91d8-36663d525477.jpg?ect=4g,xiaomi-deerma-air-humidifier-ultrasonic-aromatherapy-oil-diffuser-larg
7,"DEERMA Air Humidifier Ultrasonic Aromatherapy Oil Diffuser Large Cap",-,"in stock",new,278000,https://www.tokopedia.com/hifebriansyah/deerma-air-humidifier-ultrasonic-aromatherapy-oil-diffuser-large-cap,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/5/4e912a68-cc81-4305-8b73-a96142dc99a0.jpg?ect=4g,deerma-air-humidifier-ultrasonic-aromatherapy-oil-diffuser-large-cap
8,"DEERMA Humidifier Stand Ultrasonic Large Capacity 5L - LD300 - White",-,"in stock",new,473000,https://www.tokopedia.com/hifebriansyah/deerma-humidifier-stand-ultrasonic-large-capacity-5l-ld300-white,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/5/ec8bbe78-2d3f-4c79-a302-9e49ad146385.jpg?ect=4g,deerma-humidifier-stand-ultrasonic-large-capacity-5l-ld300-white
9,"Deerma Microfiber Cloth Refill Replacement 1 PCS for Deerma Sweeper",-,"in stock",new,37000,https://www.tokopedia.com/hifebriansyah/deerma-microfiber-cloth-refill-replacement-1-pcs-for-deerma-sweeper,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/5/65675bdf-eda8-410a-a97c-697bca24eb0d.jpg?ect=4g,deerma-microfiber-cloth-refill-replacement-1-pcs-for-deerma-sweeper
10,"Deerma Hepa Dust Filter for Deerma Vacuum Cleaner DX700 / DX700S",-,"in stock",new,42000,https://www.tokopedia.com/hifebriansyah/deerma-hepa-dust-filter-for-deerma-vacuum-cleaner-dx700-dx700s,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/5/bdf6302b-7c84-4049-a88f-c4514f9d0689.jpg?ect=4g,deerma-hepa-dust-filter-for-deerma-vacuum-cleaner-dx700-dx700s
11,"Taffware Digipounds Timbangan Badan Digital Gym Health Scale Battery",-,"in stock",new,89000,https://www.tokopedia.com/hifebriansyah/taffware-digipounds-timbangan-badan-digital-gym-health-scale-battery,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/cdb4698c-703e-479a-a419-72fb99d0bd3c.jpg?ect=4g,taffware-digipounds-timbangan-badan-digital-gym-health-scale-battery
12,"Taffware Digipounds Timbangan Badan Digital + Temperature Battery",-,"in stock",new,76000,https://www.tokopedia.com/hifebriansyah/taffware-digipounds-timbangan-badan-digital-temperature-battery,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/3ced556f-e861-4a64-a523-057c77da8786.jpg?ect=4g,taffware-digipounds-timbangan-badan-digital-temperature-battery
13,"Taffware Digipounds Timbangan Badan Digital with Bluetooth - SC10White",-,"in stock",new,97000,https://www.tokopedia.com/hifebriansyah/taffware-digipounds-timbangan-badan-digital-with-bluetooth-sc10white,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/47e079f7-2de8-4dc3-bb42-0948a14bf2dd.jpg?ect=4g,taffware-digipounds-timbangan-badan-digital-with-bluetooth-sc10white
14,"Taffware Digipounds Timbangan Badan Mini Digital Desain Kartun 180Kg",-,"in stock",new,57000,https://www.tokopedia.com/hifebriansyah/taffware-digipounds-timbangan-badan-mini-digital-desain-kartun-180kg,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/2accf7dc-8c6e-4fb0-a2dd-faeb7475c249.jpg?ect=4g,taffware-digipounds-timbangan-badan-mini-digital-desain-kartun-180kg
15,"Taffware Digipounds Gohide Timbangan Badan Kaca Digital 180Kg Small",-,"in stock",new,63000,https://www.tokopedia.com/hifebriansyah/taffware-digipounds-gohide-timbangan-badan-kaca-digital-180kg-small,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/501edc5c-5dcd-4909-88dc-efb9ea1b95e3.jpg?ect=4g,taffware-digipounds-gohide-timbangan-badan-kaca-digital-180kg-small
16,"Taffware Digipounds Gohide Timbangan Badan Kaca Digital 180KgLargeSize",-,"in stock",new,74000,https://www.tokopedia.com/hifebriansyah/taffware-digipounds-gohide-timbangan-badan-kaca-digital-180kglargesize,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/5abd0726-df00-4594-9f88-32f4da2dd4ef.jpg?ect=4g,taffware-digipounds-gohide-timbangan-badan-kaca-digital-180kglargesize
17,"TaffwareDigipounds Timbangan Badan Digital dengan Indikator Suhu black",-,"in stock",new,77000,https://www.tokopedia.com/hifebriansyah/taffwaredigipounds-timbangan-badan-digital-dengan-indikator-suhu-black,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/4/c4478845-a239-4c7a-8ce3-bf8131b54564.jpg?ect=4g,taffwaredigipounds-timbangan-badan-digital-dengan-indikator-suhu-black
